FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
3484,6,37,1970,33.75155278,-118.12858889,1313,4,1833.81460832
3861,6,59,4130,33.75564722,-118.03428333,1324,4,803.82339830
3992,6,37,1970,33.78272222,-118.13270833,1335,3,1076.75700042
3630,6,37,1970,33.79692778,-118.15145833,1339,4,1136.75821211
3694,6,59,1410,33.77415000,-118.02380000,1360,4,1206.33456112
3568,6,37,1980,33.80307778,-118.04375278,1377,3,902.83931996
3628,6,59,1660,33.75207500,-118.02448889,1422,4,823.90804670
3942,6,59,4130,33.75364722,-118.00710278,1425,4,617.83120172
3737,6,59,3420,33.75788611,-117.92046667,1445,4,225.68721605
3743,6,59,470,33.83360000,-118.02937500,1467,4,276.72298822
3554,6,59,80,33.83226111,-117.94559167,1486,4,445.91381608
3679,6,37,639,33.87465556,-118.10208333,1532,4,184.97982244
3766,6,37,305,33.88918333,-118.14265556,1568,4,78.78789553
3637,6,37,2684,33.91006667,-118.16894444,1573,4,107.50104663
3845,6,37,2020,33.91785000,-118.19456111,1587,4,809.95136309
3506,6,37,3690,33.91529167,-118.16891389,1603,4,92.96915261
4003,6,37,1045,33.93920278,-118.13138889,1637,4,685.77923655
3455,6,37,1045,33.93667500,-118.10592500,1645,4,768.12453444
3841,6,37,1825,33.88238611,-118.02593056,1669,4,260.12790944
3695,6,37,2458,33.90204722,-118.08549722,1734,4,350.09559361
3528,6,37,4190,33.92731944,-118.04648611,1772,4,983.83042355
3884,6,59,0,33.58488056,-117.72691667,1912,3,1911.99482120
3881,6,59,1782,33.60211944,-117.68668333,1918,4,399.18872449
3654,6,59,2199,33.59236944,-117.67181389,1929,3,700.05421942
3611,6,59,0,33.59692778,-117.46369722,2022,3,10652.94438108
3973,6,65,0,33.62089444,-117.42566111,2022,3,6250.64138284
3720,6,59,2560,33.77913889,-117.88565000,2154,4,247.15741368
3623,6,59,3420,33.78035278,-117.87876667,2156,4,150.62522485
3816,6,59,2560,33.78510000,-117.88378889,2171,3,308.90143963
3553,6,59,2560,33.78567500,-117.83579444,2212,4,561.04539196
3518,6,59,80,33.83885833,-117.91497222,2267,4,405.84833933
3957,6,59,80,33.83915556,-117.87164444,2276,4,355.37563049
3490,6,59,80,33.85220000,-117.87601667,2293,4,313.55609077
3908,6,59,0,33.85216944,-117.87548889,2293,4,295.13562617
3512,6,37,0,33.97686111,-117.98290000,2326,4,1090.18129219
3838,6,37,1695,33.99586944,-117.89971111,2342,4,508.91589272
3612,6,59,80,33.85435000,-117.79555000,2346,3,523.99807384
3608,6,65,0,33.78266111,-117.49077500,2411,4,12221.66841545
3664,6,65,3070,33.94282500,-117.45700833,2422,4,482.92355246
4001,6,71,681,33.97901389,-117.71507500,2449,3,409.37488590
3525,6,71,2550,34.00071111,-117.72415000,2454,3,406.05309989
3526,6,71,2550,34.03048333,-117.66763611,2470,4,85.57538198
