STATE,COUNTY,LATITUDE,LONGITUDE
1.0000,43.0000,34.09812500,-87.05855556
1.0000,91.0000,32.24236111,-87.79503889
1.0000,117.0000,33.39839167,-86.68568333
1.0000,105.0000,32.56940278,-87.40412778
1.0000,101.0000,32.12234722,-86.07449167
1.0000,121.0000,33.60114444,-86.02177778
1.0000,9.0000,33.98415278,-86.60393611
1.0000,63.0000,,
1.0000,41.0000,31.71003611,-86.20119167
1.0000,59.0000,34.54768611,-88.04064444
1.0000,53.0000,31.11640833,-87.45826944
1.0000,103.0000,34.37720000,-87.08991667
1.0000,123.0000,32.67716111,-85.90779444
1.0000,81.0000,32.68824722,-85.32001389
1.0000,55.0000,34.05816944,-86.03837778
1.0000,15.0000,33.94290278,-85.58202222
1.0000,89.0000,34.71307222,-86.65581111
1.0000,43.0000,34.23237778,-86.57000278
1.0000,83.0000,34.84856389,-86.96978056
1.0000,117.0000,33.17420556,-86.67862500
1.0000,3.0000,30.50959167,-87.59071389
1.0000,65.0000,32.56429722,-87.59787222
1.0000,131.0000,32.01990833,-87.06441667
1.0000,89.0000,34.82760556,-86.64260833
1.0000,83.0000,34.65693333,-86.95020833
1.0000,81.0000,32.56148611,-85.12308611
1.0000,113.0000,32.33875000,-85.15001389
1.0000,73.0000,33.39942778,-87.00566667
1.0000,21.0000,32.79019722,-86.90443333
1.0000,91.0000,,
1.0000,129.0000,31.37619722,-88.01343889
1.0000,43.0000,33.87440000,-86.92601389
1.0000,3.0000,30.48708333,-87.79248611
1.0000,97.0000,31.11060000,-88.08567500
1.0000,73.0000,33.50148611,-86.77364167
1.0000,73.0000,33.50053333,-86.88345278
1.0000,73.0000,33.58438333,-86.67290556
1.0000,101.0000,32.42229722,-86.25243056
1.0000,125.0000,33.23267500,-87.62546111
1.0000,35.0000,,
1.0000,79.0000,34.67635833,-87.30657222
1.0000,103.0000,34.46979167,-86.95620000
1.0000,117.0000,33.48993889,-86.53722500
1.0000,83.0000,34.81451389,-86.97197500
1.0000,81.0000,32.60987222,-85.49039722
