LONGITUDE,LATITUDE,,
-76.77973333,39.94865,,
-76.781983,37.228193,,
-76.781983,37.228193,,
-76.781983,37.228193,,
-76.781983,37.228193,,
-76.781983,37.228193,,
-76.78477,36.03462,,
-76.785137,37.235082,,
-76.785137,37.235082,,
-76.785137,37.235082,,
-76.785137,37.235082,,
-76.79332,36.30257,,
-76.799396,37.253735,,
-76.80329,35.46933,,
-76.80559722,37.12949444,,
-76.8056,37.129495,,
-76.80653,37.129948,,
-76.81222,35.47705,,
-76.81223,35.47706,,
-76.8133,35.47428,,
-76.81354,35.47434,,
-76.81384,35.47686,,
-76.81385,35.47502,,
-76.81385,35.47598,,
-76.81388,35.47416,,
-76.81401,35.47736,,
-76.81401,35.4767,,
-76.81444,35.47212,,
-76.82202,34.69529,,
-76.83556,37.137586,,
-76.845484,37.124647,,
-76.86007,34.77662,,
-76.8861,37.133943,,
-76.8862,37.133943,,
-76.8867,37.133258,,
-76.8921,37.135517,,
-76.90069,34.88265,,
-76.90326,37.959459,,
-76.909232,40.341834,,
-76.909232,40.341834,,
-76.916045,39.720887,,
-76.92691,37.969457,,
-76.93226,36.40415,,
-76.93336,36.39662,,
-76.93617,36.40116,,
-76.93911,36.38623,,
-76.94467,35.99607,,
-76.95415,35.99988,,
-76.95761,36.3687,,
-76.95843,36.39989,,
-76.958692,38.930062,,
-76.95958,37.982194,,
-76.96401,36.00536,,
-76.967983,38.910226,,
-76.968061,38.910216,,
-76.97129,38.90854,,
-76.97238,35.53493,,
-76.97294,37.165639,,
-76.97297,37.1652,,
-76.97994,36.01792,,
-76.989197,38.889822,,
-76.990262,38.889822,,
-76.99081,36.28824,,
-77.00293,36.40813,,
-77.005277,38.947373,,
-77.00584,35.92518,,
-77.006221,38.948666,,
-77.00982,38.06698,,
-77.012798,38.95979,,
-77.025983,38.889156,,
-77.029101,38.964501,,
-77.0292,35.08049,,
-77.029557,38.963851,,
-77.03072,38.900013,,
-77.03162,36.48218,,
-77.03261,35.08506,,
-77.033829,38.892377,,
-77.03425,38.898548,,
-77.0343,38.89842,,
-77.03490973,38.90007606,,
-77.03491,38.898999,,
-77.03494191,38.89976712,,
-77.03507066,38.89937468,,
-77.035119,38.907536,,
-77.03537,35.10885,,
-77.03539,35.10816,,
-77.0355,35.10894,,
-77.03552,35.10792,,
-77.03574657,38.90036829,,
-77.03601,35.11063,,
-77.036262,38.900402,,
-77.03644,35.10431,,
-77.036605,38.886538,,
-77.03675,35.11155,,
-77.03774,35.10808,,
-77.03797,35.1079,,
-77.03808,35.10814,,
-77.03813,35.09774,,
-77.0381552,38.89897076,,
-77.03816995,38.90007814,,
-77.0383,35.0976,,
-77.03851,35.09722,,
-77.03851596,38.89853866,,
-77.03851596,38.89853866,,
-77.03857899,38.8989071,,
-77.03860044,38.89891545,,
-77.03860044,38.89891545,,
-77.03863,35.10818,,
-77.03863397,38.89854388,,
-77.03866,35.86196,,
-77.038697,38.89888205,,
-77.038697,38.89888205,,
-77.03882039,38.9018712,,
-77.03952,35.10833,,
-77.039754,38.891962,,
-77.039754,38.891962,,
-77.03979,35.10691,,
-77.03984,38.891941,,
-77.03988,35.1082,,
-77.039909,38.889262,,
-77.04105,35.10994,,
-77.041264,38.886836,,
-77.041264,38.886836,,
-77.041264,38.886836,,
-77.041658,38.886482,,
-77.041723,38.804475,,
-77.042229,38.805261,,
