"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"83","MENIFEE COUNTY","Kentucky",0.0189878923272591,1037,526.585357252,19128.082704,28415.18047,16954.30671,176787.35764,187585.53096,78280.612614,3173.2485738
"84","MERCER COUNTY","Kentucky",0.0181284719692408,1038,2050.21756155,16524.5664575,30639.8528825,4986.765702625,185253.43255,207272.7267,28035.30591,5863.1982185
"85","METCALFE COUNTY","Kentucky",0.0332038319116863,1039,2036.91919752,27903.469078,35229.471224,10309.2524548,94993.79303,161932.89444,37337.134908,4250.8249356
"86","MONROE COUNTY","Kentucky",0.0300452964681184,1040,1399.6692658,28945.2648633333,27121.00356,23006.52081,68402.77063,147584.5693,48647.1585033333,1443.94759086667
"87","MONTGOMERY COUNTY","Kentucky",0.0335940510157275,1041,1521.24806586,7476.1849724,8712.13078114286,6519.53078785714,164693.548228571,205567.8676,56132.3164028571,5970.07329071429
"88","MORGAN COUNTY","Kentucky",0.0281066033444017,1042,891.308892733333,33209.9781866667,42080.749525,5361.91178766667,162460.61335,170636.978183333,110784.980976667,6066.64766183333
"89","MUHLENBERG COUNTY","Kentucky",0.0310082455644947,1043,971.440743245,32532.771188,42158.763658,15344.3614741,66028.312212,50080.59406,41976.618079,5612.94975536
"90","NELSON COUNTY","Kentucky",0.0220418548603486,1044,1573.3858046,21766.8505794444,43138.4288338889,6910.55070516667,179843.495027778,173622.779927778,10773.9559143778,5135.44916722222
"91","NICHOLAS COUNTY","Kentucky",0.0245547444488239,1045,1075.5861665,26060.48682,27480.86252,13576.780944,135693.93805,184460.9399,53298.025175,10846.314212
"92","OHIO COUNTY","Kentucky",0.0242380669087698,1046,1098.4931196875,35099.49745375,63935.59127,9907.30006430625,105785.0239325,78675.38579125,75386.83519875,10380.609060625
"93","OLDHAM COUNTY","Kentucky",0.0101577333741946,1047,1256.60254096429,10620.0571811429,11026.4344927143,4046.63902092857,141802.021221429,125563.78495,58538.5483557143,7822.27720242857
"94","OWEN COUNTY","Kentucky",0.0229887837763188,1048,2211.46962641667,24954.9801516667,35961.4910683333,7286.81170433333,101992.411895,156516.866033333,53022.5207183333,12429.8074715
"95","OWSLEY COUNTY","Kentucky",0.0360978872783833,1049,1563.33336006667,33748.77825,42044.52574,4099.93883433333,135865.856366667,145040.564233333,107445.853133333,2972.77741766667
