"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"18","EAST CARROLL COUNTY","Louisiana",0.0208201373314997,1091,2768.585279,31964.68464,20350.40177,3072.586652,249668.5241,107562.9118,109115.5594,1069.393233
"19","EAST FELICIANA COUNTY","Louisiana",0.02751216429793,1092,617.812584896,32705.65875,10911.1401612,7968.2909832,35133.294188,125267.36518,83107.875506,5137.564818
"20","EVANGELINE COUNTY","Louisiana",0.02450096499116,1093,1213.53750608667,21363.3398286667,9932.25786613333,6917.34784186,54697.744978,98438.082312,134776.15632,3514.0877779
"21","FRANKLIN COUNTY","Louisiana",0.0237857326007255,1094,1675.33159471429,12277.2528568571,12348.7797357143,7645.23025857143,183658.632371429,150158.028657143,69489.4406785714,3107.08104461429
"22","GRANT COUNTY","Louisiana",0.0251703490996885,1095,1491.07634066,27394.988136,20910.92143,2764.5104826,148611.19313,162642.59533,113620.792981,3361.3213541
"23","IBERIA COUNTY","Louisiana",0.0238049862750211,1096,1271.34513078571,26152.2515978571,8282.90302096429,6008.77232507143,27067.1925785714,112490.403911071,178449.252192857,2952.79251798179
"24","IBERVILLE COUNTY","Louisiana",0.044400742509346,1097,1766.12069166364,24217.7963213636,15467.2472659545,14784.3439524545,24825.8945836364,89629.6094168182,142791.919122727,4590.55574156364
"25","JACKSON COUNTY","Louisiana",0.0282798155710953,1098,2208.210313825,19569.6730675,19478.27417125,3936.22969365,164237.64695,201723.031825,144820.446675,3549.571517475
"26","JEFFERSON COUNTY","Louisiana",0.007715454661111,1099,806.361410854375,7068.15475745938,5124.05237691563,2317.97029969375,12449.2093128125,13460.8798451656,206781.917796875,889.25382921875
"27","JEFFERSON DAVIS COUNTY","Louisiana",0.0389208801857486,1100,713.789468727143,31230.1863171429,7251.64432992857,5816.79254,68736.54975,43759.8261607143,194561.399557143,3583.10872245714
"28","LA SALLE COUNTY","Louisiana",0.0277151182181162,1101,916.042827566667,44727.0327422222,26227.7839088889,6735.71391454444,150389.464144444,191044.396511111,69272.2954066667,2974.15138336667
"29","LAFAYETTE COUNTY","Louisiana",0.0180688737350809,1102,721.953513462449,7412.81848183673,5993.00133561633,2283.83791078878,4257.89898116367,113978.111565918,160956.70995102,1681.04482211592
"30","LAFOURCHE COUNTY","Louisiana",0.0280056703272664,1103,1370.13234978333,48382.0222291667,10622.8048608417,5319.96075760583,56326.8210377778,26201.7366161667,221588.779697222,2637.00799107778
"31","LINCOLN COUNTY","Louisiana",0.0283219951491148,1104,821.981581241765,31904.1572764706,8864.69175984118,4812.73360678824,161639.896482353,199434.597658824,152246.578517647,1905.65041478824
"32","LIVINGSTON COUNTY","Louisiana",0.0230114306845299,1105,803.472274735625,17979.530153125,11256.3346255281,9627.61648332188,26612.3642339062,73988.4614225,133326.41774375,3273.92253724375
"33","MADISON COUNTY","Louisiana",0.0584477143007781,1106,1694.06113015364,24928.1421427273,18172.9597760909,6276.28459979091,205098.964127273,97189.7716009091,95069.3441309091,3528.10559632727
"34","MOREHOUSE COUNTY","Louisiana",0.0259741716284195,1107,990.785885735,27558.6631157143,10035.4358267,4939.95573128571,233159.383742857,166525.741528571,141072.529607143,3168.59878692143
"35","NATCHITOCHES COUNTY","Louisiana",0.0317651401758186,1108,1570.18691954636,33550.2231722727,15820.8208724182,5747.25284602727,144008.099340909,162772.940409091,158861.020463636,2705.662657115
"36","ORLEANS COUNTY","Louisiana",0.0115107373879464,1109,486.841915177321,2452.66903254286,2610.17604710357,1001.19430882964,2582.60638875714,21614.6328183929,195624.860808929,1223.032673365
"37","OUACHITA COUNTY","Louisiana",0.015092125085959,1110,703.916961415263,8646.99790542895,5544.3438965,4150.52306244184,208308.327226316,186595.432492105,124273.991002632,1627.77417271842
"38","PLAQUEMINES COUNTY","Louisiana",0.0219577370114102,1111,2471.77397018286,37935.433125,13908.3450341429,24728.5048815157,34671.4341075714,60186.4825428571,185251.915428571,2642.61145007143
"39","POINTE COUPEE COUNTY","Louisiana",0.0411134798770614,1112,2482.47285059167,34930.6657708333,16854.8137651917,5408.611418525,37854.0361308333,139902.575658333,95273.0082958333,3135.32246368333
"40","RAPIDES COUNTY","Louisiana",0.0183513853375994,1113,775.556182162143,13176.9307094857,11997.7628061548,3307.94853934381,114164.444119286,135155.249923571,109068.446376905,1858.75648595048
"41","RED RIVER COUNTY","Louisiana",0.0426080086916603,1114,2551.89936117273,10734.0254912727,30280.5718572727,5744.77561846364,105296.203259091,139884.635218182,138438.126072727,4864.94328481818
"42","RICHLAND COUNTY","Louisiana",0.0291040755852734,1115,1586.49479874,25722.4387316667,14685.0692413333,9787.34064266667,210984.848216667,158397.500216667,97948.0874516667,5336.78859933333
"43","SABINE COUNTY","Louisiana",0.0303037134594872,1116,1251.67712900214,33737.6079328571,18444.0442797071,11736.8986770714,108105.480120714,142845.41385,177556.21135,2746.01272395714
"44","TANGIPAHOA COUNTY","Louisiana",0.0338142588529065,1126,697.940156921556,9117.04968291333,8700.75610833556,4833.35770771067,59952.7733133333,68422.2769322222,137861.150122222,2996.42481817933
"45","TERREBONNE COUNTY","Louisiana",0.0227369321868443,1127,716.2388165525,61402.5004075,7452.42994448438,2848.60785563125,70047.2755753125,9543.85498884375,224853.49895,1603.07018606562
"46","UNION COUNTY","Louisiana",0.0308725308751138,1128,1942.6780226,23555.244393,24034.976225,11160.8728731,192138.47236,204262.2046,154007.7607,4360.4380759
"47","VERMILION COUNTY","Louisiana",0.0204901159738644,1129,1559.22496456318,29460.7081804545,10937.9315139091,5497.12525848636,31678.7264313636,100072.000908636,194459.717981818,3368.87511479091
"48","VERNON COUNTY","Louisiana",0.02727270661681,1130,1035.11235715476,18186.8577212381,16482.7527712857,5307.8686452981,129297.990157143,95429.0879642857,182034.320295238,5557.57081296191
"49","WASHINGTON COUNTY","Louisiana",0.0306141498704173,1131,1557.93669406667,20463.1161291667,11220.9791654,8021.13851788889,92015.0924316667,95099.109145,156501.286361111,2881.89462961667
"50","WEBSTER COUNTY","Louisiana",0.019931225978081,1132,1188.052069676,30171.9088406667,7992.7373501,6248.856463482,94304.692936,131133.553806667,88204.486922,1778.16548040467
"51","WEST BATON ROUGE COUNTY","Louisiana",0.0516174960666765,1133,2602.7789721,12844.0097325714,15778.7681228571,7176.777454,13172.0413508571,103828.601484286,124982.6097,4154.06825742857
"52","WEST CARROLL COUNTY","Louisiana",0.0264618138844461,1134,1034.10681774429,49410.5771028571,10973.2174154286,7629.30124742857,249270.681842857,130171.828414286,126525.407614286,4196.69292314286
"53","WEST FELICIANA COUNTY","Louisiana",0.0299297881090979,1135,407.63878145,37373.9736,7096.901114,10694.02171,34883.382465,135119.1542,79800.241585,5899.231422
"54","WINN COUNTY","Louisiana",0.0350463407300808,1136,1626.34482182,42199.23053,13665.0833538,7376.93399348,166376.43766,190410.75158,133440.27388,3837.81361174
