LONGITUDE,LATITUDE
-80.146900,26.091220
-82.446800,27.956630
-81.893240,27.995837
-82.309000,34.829220
-80.784200,35.188230
-78.594300,35.860860
-74.795900,40.257960
-74.164453,40.885892
-74.454201,40.598229
-74.842995,40.039810
-75.078774,39.893383
-117.058224,32.631931
-117.154000,32.706080
-117.332080,33.133663
-117.352000,33.212500
-117.036000,32.978580
-117.223000,33.224870
-117.167845,32.877703
-117.130972,32.833543
-117.158000,32.824710
-118.219048,34.057417
-118.466894,34.031049
-118.012030,34.029691
-118.106616,33.968029
-118.294021,33.758219
-118.390965,34.255990
-118.494183,34.208430
-117.881329,34.091246
-118.598388,34.237327
-117.829000,34.002110
-116.394269,33.815339
-117.371796,33.971523
-118.008104,33.779094
-117.924518,33.764687
-117.764881,33.675556
-119.161158,34.191628
-120.671000,35.254200
-118.143000,34.649420
-94.373159,35.361616
-106.495058,31.757520
-112.106323,33.484238
-111.882209,33.569394
-110.927286,32.131408
-110.918585,32.167618
-110.958238,32.174508
-115.022969,36.063591
-115.125585,36.220403
-80.273200,40.562900
-79.939000,40.634690
-79.502600,40.309800
-79.603200,40.605270
-78.849800,40.282210
-80.120700,41.172920
-78.387600,40.523160
-76.216500,36.866260
-76.463100,37.083020
-77.162381,39.123858
-87.933800,43.115280
-87.959200,42.999840
-88.586000,44.779530
-91.148300,44.949340
-122.486000,47.171180
-122.310000,47.546330
-122.792439,47.034791
-87.880000,42.930100
-87.975100,42.916130
-88.238222,42.982077
-87.809200,42.667800
-88.857700,42.904050
-88.445900,44.259700
-117.095131,46.729892
-117.388750,47.674608
-117.060437,46.421760
-89.972835,35.165276
-72.656500,41.763380
-117.173583,32.729871
-118.280455,33.858557
-80.173500,26.187940
-118.378014,33.941658
-73.607531,40.729578
-77.163807,39.124304
-95.961793,35.607095
-112.011000,41.205160
-111.860000,41.734690
-112.141489,33.601294
-112.013654,33.672505
-75.528900,39.155560
-84.441500,33.789590
-122.021000,36.978020
-121.809000,39.708390
-121.978000,38.350790
-121.760000,38.532050
-116.242672,33.707584
-118.118429,33.932732
-117.890000,33.800860
-117.352116,33.983135
-116.874515,33.921746
-117.324000,34.108520
-118.207281,33.899693
-118.315000,33.838150
-117.324000,33.980380
-117.634000,34.047070
-117.904760,33.823950
-116.509117,33.819242
-118.108820,34.084618
-119.174000,34.200770
-117.188000,33.758960
-116.045000,34.201900
-97.321100,32.824510
-96.715565,40.856783
-96.699689,40.811394
-98.378596,40.917001
-97.131274,44.904161
-97.108292,44.022411
-96.701648,40.761695
-94.582679,38.955522
-89.475708,43.082136
-93.575628,42.034559
-95.852537,41.228138
-91.208712,40.826026
-92.255880,38.588182
-95.933177,41.254410
-102.248879,43.980921
-121.496100,38.584600
-121.493829,38.578303
-121.501407,38.578058
-121.495300,38.580850
-118.387561,34.249104
-118.446678,34.050448
-118.081763,34.053210
-118.268962,34.039386
-117.829045,34.002107
-118.248854,34.057593
