LONGITUDE,LATITUDE
-77.02286,39.00524
-92.02365,30.29558
-92.05212,30.20235
-92.04093,30.20586
-92.03836,30.2073
-92.05879,30.1937
-92.00312,30.22999
-92.00824,30.27305
-92.0089,30.23244
-92.01432,30.18858
-91.99507,30.22624
-92.03593,30.25068
-106.75479,32.31204
-110.84988,32.24813
-110.97822,32.29724
-122.21199,47.48119
-122.21221,47.45899
-122.18559,47.50312
-111.85857,33.26193
-111.78932,33.21925
-110.85796,32.20678
-110.96151,32.13408
-111.93446,33.53135
-113.32,53.5137
-112.32448,33.56543
-112.32439,33.55102
-111.82408,33.30621
-83.65507,41.59444
-76.7546,39.2798
-113.2957,53.54121
-113.60964,53.62142
-111.976,33.5244
-113.2956,53.51205
-83.6033,41.61208
-113.20514,53.70134
-113.21644,53.6963
-81.64182,41.4881
-113.33016,53.51212
-82.44844,36.30565
-82.45945,36.30166
-82.46875,36.29945
-113.2633,53.5412
-92.07009,30.19827
-92.03893,30.16977
-92.0363,30.1672
-114.02604,51.06633
-83.68422,41.61373
-97.11453,49.80599
-110.01916,34.20192
-110.04233,34.25055
-91.65894,41.98293
-97.15229,49.89621
-91.6788,41.97339
-82.64863,36.54741
-77.30119,39.11176
-84.24156,39.66355
-77.18204,39.07614
-77.09041,39.0535
-77.29612,39.15849
-85.2783,35.09986
-122.216,47.3203
-81.75929,41.48572
-76.99107,39.10571
-77.06736,39.09128
-111.68431,33.43461
-111.92593,33.59668
-111.92636,33.46563
-111.8904,33.6605
-111.81972,33.58243
-77.01402,38.89646
-77.0923,38.9139
-77.00533,38.92781
-77.03648,38.95516
-76.96423,38.89721
-81.49092,41.05813
-85.28178,35.09664
-77.06576,39.05908
-81.57372,41.52815
-81.55004,41.53489
-85.29635,35.06449
-85.28075,35.09778
-76.96898,39.02517
-85.28642,35.09217
-76.99415,38.91257
-77.16101,38.97908
-77.11719,39.08593
-77.19633,39.25227
-77.16266,39.08488
-77.24735,39.08107
-77.24722,39.08432
-77.25195,39.08045
-77.12904,39.02355
-77.07717,38.97202
-111.87145,33.37867
-111.81273,33.40785
-77.01886,38.99904
-77.01496,38.99963
-81.65539,41.50586
-81.47505,41.1292
-81.54912,41.06887
-77.06685,39.14681
-77.1181,39.02254
-82.66196,36.54114
-77.06475,39.09143
-77.01448,38.98503
-77.01217,38.98835
-77.40497,39.13653
-77.42275,39.14678
-77.21609,39.02294
-77.0782,38.96667
-81.49154,41.07317
-76.95541,38.89628
-110.91085,32.17291
-82.30356,36.4375
-81.51506,41.05117
-77.2983,39.15135
-119.26188,47.11465
-77.04796,39.00704
-110.95521,32.33729
-77.29494,39.10517
-77.04637,39.00824
-77.2826,39.10723
-77.17943,39.04379
-77.20366,39.01455
-77.13117,38.98718
-77.1234,38.98951
-77.30021,39.11354
-77.16043,39.01612
-77.29942,39.15117
-77.20159,39.29891
-77.25035,39.1217
-77.0581,39.17717
-77.2148,39.16389
-76.99367,38.87791
-76.99047,38.97939
-90.11279,29.99431
-77.08874,38.98542
-110.89273,32.29355
-111.00774,32.15672
-111.01211,32.31038
-77.10323,39.08285
-77.10552,39.08651
-77.02952,39.04713
-77.03135,39.14878
-111.00342,32.29055
-110.92736,32.28358
-110.95986,32.10141
-77.21085,39.00089
-77.21744,39.00656
-111.04029,32.13375
-77.04047,39.14607
-73.98581,45.38725
-73.44163,45.57142
-73.57881,45.47001
-73.59635,45.49485
-71.26284,46.72776
-77.17167,39.11231
-84.28003,36.01022
-84.26178,36.01348
-77.12152,39.16244
-77.26045,39.16857
-110.85546,32.1415
-77.19023,39.1338
-77.19624,39.13957
-77.07625,39.02282
-77.07687,39.02158
-77.19644,39.08652
-122.29241,47.82949
-122.31438,47.84659
-122.32235,47.84668
-122.15035,47.61715
-77.1619,39.07843
-77.11459,39.08213
-122.50526,47.27105
-122.29188,47.76289
