"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"16","FLAGLER COUNTY","Florida",21.6666666666667,320,1056.30725067316,24699.0529060526,9054.31795281316,4288.83299407684,5030.95295751447,72728.6284115789,29676.0496594737,5222.50114437526
"17","FRANKLIN COUNTY","Florida",3.33333333333333,321,3497.54262342857,56573.4203457143,9082.78180185714,13271.7016388571,92877.57238,107215.385837143,224715.790942857,6889.93868282857
"18","GADSDEN COUNTY","Florida",18.1111111111111,322,1848.24462137588,17969.6572680588,13721.1167554059,3560.47634203529,24238.5030267647,134744.153729412,200179.556088235,4195.45979281176
"19","GILCHRIST COUNTY","Florida",5.44444444444444,323,7001.91388033333,42771.0098983333,41497.098895,9272.87086616667,52116.29041,87976.8589,35172.0736566667,4722.30873466667
"20","GLADES COUNTY","Florida",6.22222222222222,324,2256.24571642857,45030.4090457143,29180.9496171429,6647.37890513714,33839.9597614286,67209.1261942857,92755.1300628571,12313.3739794286
"21","GULF COUNTY","Florida",3.55555555555556,325,592.1433001,37838.6833,25975.7304903333,1599.23513096667,97535.4334566667,67073.8295733333,238081.179433333,1566.42800833333
"22","HAMILTON COUNTY","Florida",7.22222222222222,326,2408.22195566,22017.022094,11699.9696565333,3797.22066713333,95771.4404106667,129005.919186667,79194.9471966667,6173.34226193333
"23","HARDEE COUNTY","Florida",9.33333333333333,327,1724.57828903739,30277.976656087,11468.5121222174,7980.92384944609,56192.9520608696,65176.4088213044,47469.5749404348,6757.87547397391
"24","HENDRY COUNTY","Florida",17.3333333333333,328,1766.47828014667,42533.8619777778,21111.8067161056,13221.5793664872,22465.23380385,68059.3913016667,111941.028797222,8631.31487478889
"25","HERNANDO COUNTY","Florida",34.1111111111111,329,3845.33617175963,13410.669673,12051.3910598704,2826.84221989037,12061.6185204017,35365.1559657407,28681.5105681481,4718.62366645741
"26","HIGHLANDS COUNTY","Florida",20.5555555555556,330,3014.88441675667,14509.3965822917,12214.3843523542,4827.26122801667,65966.0370595833,85904.8606375,59205.4666483333,5158.3693235625
"27","HILLSBOROUGH COUNTY","Florida",176.444444444444,331,980.890222633741,4070.2166579392,5385.39680206573,2188.26606532322,6200.04860896539,18537.3334888601,11899.3679767759,1792.41809035717
"28","HOLMES COUNTY","Florida",5.33333333333333,332,1537.47696184,43799.972258,16500.0538886,5526.594811951,38776.221398,69493.818817,135294.97965,4034.5797747
"29","INDIAN RIVER COUNTY","Florida",28.6666666666667,333,1286.28001712128,11536.9020577282,8035.07214491538,2818.11652025897,42339.6511482051,9332.85369412821,44002.330201282,3442.76765108462
