"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"15","CUMING COUNTY","Nebraska",2.33333333333333,1618,642.351763895,16193.914725,5402.811728,7029.951607,60835.657185,62853.2026,108232.7693,2260.820475
"16","CUSTER COUNTY","Nebraska",3.22222222222222,1619,525.1226072,12351.3357765,2971.830371,3429.929032,287713.6482,289261.20935,209259.8137,1840.40594365
"17","DAKOTA COUNTY","Nebraska",2.22222222222222,1620,1752.79127436667,5627.36886966667,6256.64866566667,1915.7829849,12258.045512,15628.6091073333,84597.61878,2069.06075783333
"18","DAWES COUNTY","Nebraska",1.55555555555556,1621,6538.115855,130087.9294,7613.666409,9532.281275,315726.8403,137226.4207,7372.672904,7251.818641
"19","DAWSON COUNTY","Nebraska",6.66666666666667,1622,1104.44320651,10707.2418914,7624.4745076,5840.51894977,330019.64185,319752.47406,156991.35255,2801.1763803
"20","DEUEL COUNTY","Nebraska",2.77777777777778,1623,270.256609,329.0616883,468.828403,132.576831,224035.8073,243547.6723,36342.69924,542.0096359
"21","DIXON COUNTY","Nebraska",1.88888888888889,1624,238.36173651,20956.4198633333,5836.87374833333,4204.26272833333,34343.4275366667,39280.8434366667,64127.02813,3563.52100566667
"22","DODGE COUNTY","Nebraska",4.88888888888889,1625,583.07806206,35524.997156,5073.8833776,3993.83422854,64541.580488,55546.37372,54915.436338,2241.42538516
"23","DOUGLAS COUNTY","Nebraska",30.8888888888889,1626,695.091989480638,3405.43370124,2411.76783674979,1349.65416095,14177.7864316596,8861.88513114894,29753.1009646809,776.2930278
"24","FILLMORE COUNTY","Nebraska",1.22222222222222,1627,2104.63406,10155.961282,4129.2339875,7168.4921155,158648.62195,149339.50955,122059.5952,4119.7036495
"25","FRONTIER COUNTY","Nebraska",0.777777777777778,1628,26.74690205,50013.48161,13479.44775,2391.914288,361276.7921,366153.812,139931.241,1657.640063
"26","FURNAS COUNTY","Nebraska",2.22222222222222,1629,2598.183233,49887.4900066667,9000.40975133333,4869.68166633333,352653.292033333,340322.088733333,94462.22606,3656.255899
"27","GAGE COUNTY","Nebraska",6,1630,1579.84904731818,14912.3140731818,8484.51113835454,5341.00023072727,127037.848,121938.570318182,95153.0660590909,2471.48990066364
"28","GARDEN COUNTY","Nebraska",0.555555555555556,1631,511.6455718,37487.87474,2515.118797,4251.894439,256661.3711,279511.4512,6162.147771,1809.09902
"29","GOSPER COUNTY","Nebraska",0.666666666666667,1632,1662.3493765,9908.2253005,11734.720185,9217.24008,330494.0885,320267.0008,144095.61235,2968.305507
"30","GREELEY COUNTY","Nebraska",0.666666666666667,1633,129.7447011,31630.42627,2076.041491,12823.18933,185264.2596,187344.8228,154059.739,1977.310199
"31","HALL COUNTY","Nebraska",7.22222222222222,1634,986.353763144444,4033.35694117778,3674.29842191111,2217.21531964444,210516.249277778,200308.711222222,176755.835255556,1494.13310655556
"32","HAMILTON COUNTY","Nebraska",2,1635,687.9337683,5873.56486926667,5537.2937178,1203.81255556667,188345.3814,178249.613433333,153833.244166667,3387.60865703333
"33","HITCHCOCK COUNTY","Nebraska",1.22222222222222,1636,75.84477757,42968.028,3877.584556,3917.095237,316254.5363,323061.8495,150377.0863,3467.884325
"34","HOLT COUNTY","Nebraska",1.77777777777778,1637,943.207172666667,23598.4509033333,9364.14053,9109.16980033333,193752.5522,191788.302133333,108756.87,2275.760318
"35","HOWARD COUNTY","Nebraska",1.66666666666667,1638,167.17378362,17333.161565,14950.36334,9307.4390825,214465.2806,204124.89075,185102.486,1333.0014064
