"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"531","KENTON COUNTY",2011,"25305.00","16.00","50150.00",158156.25,12,0.00758743331357439,22.3
"532","KNOTT COUNTY",2003,"4099","23.8","23662.00",17222.6890756303,6,0.0348377653086119,26
"533","KNOTT COUNTY",2004,"4652.00","27.00","24531.00",17229.6296296296,5,0.0290197764402408,26
"534","KNOTT COUNTY",2005,"5272.00","31.10","24716.00",16951.768488746,11,0.0648899848254932,26
"535","KNOTT COUNTY",2006,"5047","29.6","25238",17050.6756756757,5,0.0293243510996632,26
"536","KNOTT COUNTY",2007,"5324","31.7","27999",16794.952681388,6,0.03572501878287,26
"537","KNOTT COUNTY",2008,"5114","30.2","26948",16933.7748344371,6,0.0354321470473211,26
"538","KNOTT COUNTY",2009,"3956","23.7","29375",16691.9831223629,7,0.0419362992922144,26
"539","KNOTT COUNTY",2010,"4146.00","26.40","30693.00",15704.5454545455,6,0.038205499276411,26
"540","KNOTT COUNTY",2011,"4776.00","30.50","29791.00",15659.0163934426,8,0.0510887772194305,26
"541","KNOX COUNTY",2003,"8307","26.5","22239.00",31347.1698113208,9,0.0287107258938245,21.2
"542","KNOX COUNTY",2004,"9201.00","29.10","22503.00",31618.5567010309,12,0.0379523964786436,21.2
"543","KNOX COUNTY",2005,"11330.00","36.20","21847.00",31298.3425414365,10,0.0319505736981465,21.2
"544","KNOX COUNTY",2006,"11662","36.7","22960",31776.5667574932,10,0.0314697307494426,21.2
"545","KNOX COUNTY",2007,"9873","31.1","24881",31745.9807073955,9,0.0283500455788514,21.2
"546","KNOX COUNTY",2008,"10714","33.4","25090",32077.8443113772,9,0.0280567481799515,21.2
"547","KNOX COUNTY",2009,"12321","38.6","22493",31919.689119171,11,0.0344614885155426,21.2
"548","KNOX COUNTY",2010,"10564.00","33.90","25965.00",31162.2418879056,9,0.0288811056418023,21.2
"549","KNOX COUNTY",2011,"10587.00","34.00","25536.00",31138.2352941176,7,0.0224804004911684,21.2
"550","LARUE COUNTY",2003,"1918","14.4","34241.00",13319.4444444444,6,0.0450469238790407,26
"551","LARUE COUNTY",2004,"2083.00","15.40","35110.00",13525.974025974,8,0.0591454632741239,26
"552","LARUE COUNTY",2005,"2105.00","15.70","35114.00",13407.6433121019,5,0.03729216152019,26
"553","LARUE COUNTY",2006,"2080","15.4","40271",13506.4935064935,6,0.0444230769230769,26
"554","LARUE COUNTY",2007,"2028","15.1","39435",13430.4635761589,3,0.0223372781065089,26
"555","LARUE COUNTY",2008,"2327","17.3","38547",13450.8670520231,5,0.0371723248818221,26
"556","LARUE COUNTY",2009,"2260","16.8","40679",13452.380952381,3,0.0223008849557522,26
"557","LARUE COUNTY",2010,"2634.00","19.10","37863.00",13790.5759162304,2,0.0145026575550494,26
"558","LARUE COUNTY",2011,"2556.00","18.30","39174.00",13967.2131147541,1,0.00715962441314554,26
"559","LAUREL COUNTY",2003,"10376","18.7","29581.00",55486.6310160428,18,0.0324402467232074,21.7
"560","LAUREL COUNTY",2004,"11434.00","20.40","30255.00",56049.0196078431,25,0.0446038131887353,21.7
"561","LAUREL COUNTY",2005,"11171.00","20.10","31657.00",55577.1144278607,27,0.0485811476143586,21.7
"562","LAUREL COUNTY",2006,"11390","20.3","32598",56108.3743842364,17,0.0302985074626866,21.7
"563","LAUREL COUNTY",2007,"12408","22","33244",56400,17,0.0301418439716312,21.7
"564","LAUREL COUNTY",2008,"11436","20.1","34304",56895.5223880597,17,0.0298793284365163,21.7
"565","LAUREL COUNTY",2009,"12255","21.5","36664",57000,14,0.0245614035087719,21.7
"566","LAUREL COUNTY",2010,"13949.00","24.00","34712.00",58120.8333333333,19,0.0326905154491361,21.7
"567","LAUREL COUNTY",2011,"13247.00","22.70","35147.00",58356.8281938326,8,0.0137087642485091,21.7
"568","LAWRENCE COUNTY",2003,"3649","22.7","25170.00",16074.8898678414,4,0.0248835297341737,28.8
"569","LAWRENCE COUNTY",2004,"4020.00","24.80","26336.00",16209.6774193548,3,0.0185074626865672,28.8
"570","LAWRENCE COUNTY",2005,"5324.00","33.40","25948.00",15940.119760479,4,0.0250939143501127,28.8
"571","LAWRENCE COUNTY",2006,"4369","26.9","25142",16241.6356877323,4,0.024628061341268,28.8
"572","LAWRENCE COUNTY",2007,"4103","25.3","29399",16217.3913043478,10,0.0616621983914209,28.8
"573","LAWRENCE COUNTY",2008,"4435","27.1","29015",16365.3136531365,3,0.0183314543404735,28.8
"574","LAWRENCE COUNTY",2009,"4935","29.9","30855",16505.016722408,4,0.0242350557244174,28.8
"575","LAWRENCE COUNTY",2010,"3141.00","20.00","33313.00",15705,5,0.0318369945877109,28.8
"576","LAWRENCE COUNTY",2011,"4163.00","26.30","32275.00",15828.897338403,1,0.00631755945231804,28.8
"577","LEE COUNTY",2003,"1896","26.7","20974.00",7101.12359550562,4,0.0563291139240506,26.4
"578","LEE COUNTY",2004,"2093.00","29.80","21578.00",7023.48993288591,3,0.0427138079311992,26.4
"579","LEE COUNTY",2005,"2420.00","34.70","21024.00",6974.06340057637,3,0.0430165289256198,26.4
"580","LEE COUNTY",2006,"2144","31","21273",6916.12903225806,3,0.0433768656716418,26.4
"581","LEE COUNTY",2007,"2342","34.9","24617",6710.60171919771,4,0.0596071733561059,26.4
"582","LEE COUNTY",2008,"2267","33.9","23786",6687.31563421829,0,0,26.4
"583","LEE COUNTY",2009,"2432","36.8","23791",6608.69565217391,2,0.0302631578947368,26.4
"584","LEE COUNTY",2010,"2549.00","37.30","24908.00",6833.78016085791,4,0.0585327579442919,26.4
"585","LEE COUNTY",2011,"2416.00","35.70","24770.00",6767.50700280112,1,0.0147764900662252,26.4
"586","LESLIE COUNTY",2003,"3093","25.8","21163.00",11988.3720930233,9,0.0750727449078565,27.8
"587","LESLIE COUNTY",2004,"3414.00","28.60","22161.00",11937.0629370629,10,0.0837727006444054,27.8
"588","LESLIE COUNTY",2005,"3446.00","29.10","22164.00",11841.9243986254,3,0.0253337202553685,27.8
"589","LESLIE COUNTY",2006,"3347","28.3","23734",11826.8551236749,3,0.02536599940245,27.8
"590","LESLIE COUNTY",2007,"3608","31","26114",11638.7096774194,6,0.0515521064301552,27.8
"591","LESLIE COUNTY",2008,"3449","30","23627",11496.6666666667,7,0.0608872136851261,27.8
"592","LESLIE COUNTY",2009,"3499","30.8","26767",11360.3896103896,2,0.0176050300085739,27.8
"593","LESLIE COUNTY",2010,"3222.00","29.20","30597.00",11034.2465753425,2,0.0181253879577902,27.8
"594","LESLIE COUNTY",2011,"2686.00","24.50","29645.00",10963.2653061224,2,0.0182427401340283,27.8
"595","LETCHER COUNTY",2003,"5389","22","24911.00",24495.4545454545,12,0.0489886806457599,25.5
"596","LETCHER COUNTY",2004,"5848.00","24.00","26422.00",24366.6666666667,5,0.0205198358413133,25.5
"597","LETCHER COUNTY",2005,"6553.00","27.20","25549.00",24091.9117647059,15,0.062261559591027,25.5
"598","LETCHER COUNTY",2006,"6952","28.7","28863",24222.9965156794,6,0.0247698504027618,25.5
"599","LETCHER COUNTY",2007,"6408","27","29415",23733.3333333333,11,0.0463483146067416,25.5
"600","LETCHER COUNTY",2008,"6954","29.4","27374",23653.0612244898,8,0.0338222605694564,25.5
"601","LETCHER COUNTY",2009,"7146","30.6","29835",23352.9411764706,6,0.0256926952141058,25.5
"602","LETCHER COUNTY",2010,"5638.00","23.20","33410.00",24301.724137931,8,0.0329194749911316,25.5
"603","LETCHER COUNTY",2011,"5874.00","24.30","31146.00",24172.8395061728,7,0.0289581205311542,25.5
"604","LEWIS COUNTY",2003,"3258","23.8","24211.00",13689.0756302521,6,0.0438305709023941,28.7
"605","LEWIS COUNTY",2004,"3702.00","26.90","24928.00",13762.0817843866,2,0.0145326850351162,28.7
"606","LEWIS COUNTY",2005,"3959.00","29.10","24182.00",13604.8109965636,5,0.036751704976004,28.7
"607","LEWIS COUNTY",2006,"4035","29.3","26289",13771.3310580205,8,0.058091697645601,28.7
"608","LEWIS COUNTY",2007,"3939","28.9","26534",13629.7577854671,6,0.044021325209444,28.7
"609","LEWIS COUNTY",2008,"3581","26.4","28466",13564.3939393939,3,0.0221167271711812,28.7
"610","LEWIS COUNTY",2009,"3813","28.2","28349",13521.2765957447,4,0.0295830055074744,28.7
"611","LEWIS COUNTY",2010,"3878.00","28.40","29453.00",13654.9295774648,1,0.0073233625580196,28.7
"612","LEWIS COUNTY",2011,"4679.00","34.20","28740.00",13681.2865497076,3,0.0219277623423809,28.7
"613","LINCOLN COUNTY",2003,"4322","17.5","29023.00",24697.1428571429,6,0.0242943081906525,27.9
"614","LINCOLN COUNTY",2004,"4690.00","18.80","29340.00",24946.8085106383,7,0.0280597014925373,27.9
"615","LINCOLN COUNTY",2005,"4774.00","19.30","30390.00",24735.7512953368,15,0.0606409719312945,27.9
"616","LINCOLN COUNTY",2006,"5192","20.8","31413",24961.5384615385,10,0.0400616332819723,27.9
"617","LINCOLN COUNTY",2007,"5047","20.3","32566",24862.0689655172,11,0.044244105409154,27.9
"618","LINCOLN COUNTY",2008,"5188","21","34401",24704.7619047619,4,0.0161912104857363,27.9
"619","LINCOLN COUNTY",2009,"5998","24.2","31306",24785.1239669421,12,0.0484161387129043,27.9
"620","LINCOLN COUNTY",2010,"5683.00","23.30","32864.00",24390.5579399142,12,0.0491993665317614,27.9
"621","LINCOLN COUNTY",2011,"6237.00","25.60","35530.00",24363.28125,4,0.0164181497514831,27.9
"622","LIVINGSTON COUNTY",2003,"1128","11.7","33605.00",9641.02564102564,5,0.0518617021276596,27.4
"623","LIVINGSTON COUNTY",2004,"1237.00","12.80","34487.00",9664.0625,1,0.0103476151980598,27.4
"624","LIVINGSTON COUNTY",2005,"1273.00","13.30","41562.00",9571.42857142857,5,0.0522388059701493,27.4
"625","LIVINGSTON COUNTY",2006,"1211","12.6","36744",9611.11111111111,5,0.0520231213872832,27.4
"626","LIVINGSTON COUNTY",2007,"1273","13.5","38732",9429.62962962963,5,0.0530243519245876,27.4
"627","LIVINGSTON COUNTY",2008,"1284","13.6","38712",9441.17647058824,6,0.0635514018691589,27.4
"628","LIVINGSTON COUNTY",2009,"1392","14.7","40921",9469.38775510204,5,0.052801724137931,27.4
"629","LIVINGSTON COUNTY",2010,"1380.00","14.70","38608.00",9387.75510204082,2,0.021304347826087,27.4
"630","LIVINGSTON COUNTY",2011,"1464.00","15.50","38724.00",9445.16129032258,0,0,27.4
"631","LOGAN COUNTY",2003,"3971","14.8","33670.00",26831.0810810811,8,0.0298161672122891,21.9
"632","LOGAN COUNTY",2004,"4301.00","15.90","34963.00",27050.3144654088,8,0.0295745175540572,21.9
"633","LOGAN COUNTY",2005,"4293.00","16.10","37066.00",26664.5962732919,5,0.0187514558583741,21.9
"634","LOGAN COUNTY",2006,"4690","17.4","37325",26954.0229885057,8,0.029680170575693,21.9
"635","LOGAN COUNTY",2007,"4372","16.4","38323",26658.5365853659,5,0.0187557182067704,21.9
"636","LOGAN COUNTY",2008,"4753","17.8","39176",26702.2471910112,7,0.0262150220913108,21.9
"637","LOGAN COUNTY",2009,"4914","18.4","37329",26706.5217391304,10,0.0374440374440374,21.9
"638","LOGAN COUNTY",2010,"4747.00","17.90","37316.00",26519.5530726257,4,0.0150832104487044,21.9
"639","LOGAN COUNTY",2011,"5299.00","20.10","39304.00",26363.184079602,5,0.0189658426118136,21.9
"640","LYON COUNTY",2003,"867","13","33975.00",6669.23076923077,0,0,20.9
"641","LYON COUNTY",2004,"952.00","14.30","35203.00",6657.34265734266,4,0.0600840336134454,20.9
"642","LYON COUNTY",2005,"1015.00","15.40","35191.00",6590.90909090909,2,0.0303448275862069,20.9
"643","LYON COUNTY",2006,"1055","15.7","38163",6719.74522292994,2,0.0297630331753554,20.9
"644","LYON COUNTY",2007,"1005","15","40082",6700,2,0.0298507462686567,20.9
"645","LYON COUNTY",2008,"1096","16.4","40932",6682.92682926829,5,0.0748175182481752,20.9
"646","LYON COUNTY",2009,"1218","18.4","39417",6619.5652173913,1,0.0151067323481117,20.9
"647","LYON COUNTY",2010,"1069.00","14.90","39588.00",7174.4966442953,2,0.0278765201122544,20.9
"648","LYON COUNTY",2011,"1220.00","17.00","40006.00",7176.47058823529,2,0.0278688524590164,20.9
"649","MADISON COUNTY",2003,"10652","15","35586.00",71013.3333333333,11,0.0154900488171235,22.5
"650","MADISON COUNTY",2004,"11850.00","16.30","36710.00",72699.3865030675,25,0.0343881856540084,22.5
"651","MADISON COUNTY",2005,"13054.00","18.10","37173.00",72121.546961326,21,0.0291175118737552,22.5
"652","MADISON COUNTY",2006,"11520","15.7","38779",73375.796178344,15,0.0204427083333333,22.5
"653","MADISON COUNTY",2007,"14115","18.7","39842",75481.2834224599,18,0.0238469713071201,22.5
"654","MADISON COUNTY",2008,"12413","16.2","43358",76623.4567901235,13,0.016966083944252,22.5
"655","MADISON COUNTY",2009,"14903","19.2","40241",77619.7916666667,12,0.0154599745017782,22.5
"656","MADISON COUNTY",2010,"16558.00","21.40","41945.00",77373.8317757009,20,0.0258485324314531,22.5
"657","MADISON COUNTY",2011,"16317.00","20.80","40034.00",78447.1153846154,15,0.0191211619783048,22.5
"658","MAGOFFIN COUNTY",2003,"3601","27","22729.00",13337.037037037,4,0.0299916689808387,30.3
"659","MAGOFFIN COUNTY",2004,"3998.00","29.90","23518.00",13371.237458194,8,0.0598299149574787,30.3
"660","MAGOFFIN COUNTY",2005,"4718.00","35.60","21653.00",13252.808988764,0,0,30.3
"661","MAGOFFIN COUNTY",2006,"4157","31.4","24231",13238.8535031847,2,0.0151070483521771,30.3
"662","MAGOFFIN COUNTY",2007,"4092","31.6","26150",12949.3670886076,3,0.0231671554252199,30.3
"663","MAGOFFIN COUNTY",2008,"4526","34.9","25890",12968.4813753582,3,0.0231330092797172,30.3
"664","MAGOFFIN COUNTY",2009,"4110","31.7","26815",12965.2996845426,2,0.0154257907542579,30.3
"665","MAGOFFIN COUNTY",2010,"3869.00","29.40","28943.00",13159.8639455782,2,0.0151977255104678,30.3
